Threads:	5
Opitimize:	O0
Amount	Time
100	0
200	0
300	0
400	0
500	0.001
600	0.001
700	0.001
800	0.001
900	0.002
1000	0.002
1100	0.002
1200	0.003
1300	0.004
1400	0.004
1500	0.005
1600	0.006
1700	0.006
1800	0.006
1900	0.008
2000	0.008
2100	0.009
2200	0.01
2300	0.011
2400	0.012
2500	0.013
2600	0.014
2700	0.015
2800	0.016
2900	0.018
3000	0.018
3100	0.02
3200	0.021
3300	0.022
3400	0.024
3500	0.025
3600	0.026
3700	0.029
3800	0.029
3900	0.031
4000	0.033
4100	0.034
4200	0.036
4300	0.036
4400	0.039
4500	0.041
4600	0.043
4700	0.045
4800	0.046
4900	0.048
5000	0.05
5100	0.052
5200	0.054
5300	0.056
5400	0.058
5500	0.061
5600	0.063
5700	0.067
5800	0.068
5900	0.071
6000	0.072
6100	0.076
6200	0.077
6300	0.079
6400	0.082
6500	0.084
6600	0.088
6700	0.09
6800	0.092
6900	0.095
7000	0.097
7100	0.101
7200	0.104
7300	0.107
7400	0.111
7500	0.112
7600	0.116
7700	0.119
7800	0.121
7900	0.126
8000	0.128
8100	0.13
8200	0.133
8300	0.137
8400	0.139
8500	0.145
8600	0.146
8700	0.15
8800	0.154
8900	0.157
9000	0.16
9100	0.165
9200	0.167
9300	0.174
9400	0.175
9500	0.181
9600	0.183
9700	0.186
9800	0.188
9900	0.192
10000	0.197
