amount\ttime
100	0
200	0
300	0.001
400	0.001
500	0.002
600	0.003
700	0.004
800	0.004
900	0.005
1000	0.006
1100	0.008
1200	0.009
1300	0.011
1400	0.011
1500	0.013
1600	0.015
1700	0.016
1800	0.02
1900	0.021
2000	0.024
2100	0.026
2200	0.029
2300	0.032
2400	0.035
2500	0.036
2600	0.04
2700	0.043
2800	0.045
2900	0.048
3000	0.052
3100	0.055
3200	0.058
3300	0.063
3400	0.066
3500	0.069
3600	0.074
3700	0.079
3800	0.083
3900	0.087
4000	0.091
4100	0.096
4200	0.1
4300	0.104
4400	0.109
4500	0.116
4600	0.12
4700	0.124
4800	0.129
4900	0.134
5000	0.143
5100	0.145
5200	0.151
5300	0.159
5400	0.163
5500	0.17
5600	0.176
5700	0.182
5800	0.187
5900	0.194
6000	0.202
6100	0.208
6200	0.214
6300	0.222
6400	0.228
6500	0.235
6600	0.241
6700	0.249
6800	0.259
6900	0.267
7000	0.275
7100	0.28
7200	0.287
7300	0.295
7400	0.303
7500	0.315
7600	0.319
7700	0.328
7800	0.338
7900	0.347
8000	0.354
8100	0.363
8200	0.371
8300	0.38
8400	0.389
8500	0.4
8600	0.409
8700	0.417
8800	0.427
8900	0.437
9000	0.447
9100	0.455
9200	0.465
9300	0.473
9400	0.484
9500	0.494
9600	0.51
9700	0.514
9800	0.522
9900	0.531
10000	0.541
